Date,SPY,GLD
2019-01-02,241.02947998046875,121.33000183105469
2019-01-03,235.27783203125,122.43000030517578
2019-01-04,243.15866088867188,121.44000244140625
2019-01-07,245.0758819580078,121.86000061035156
2019-01-08,247.37843322753906,121.52999877929688
2019-01-09,248.53456115722656,122.30999755859375
2019-01-10,249.41127014160156,121.58999633789062
2019-01-11,249.50762939453125,121.80000305175781
2019-01-14,247.9854278564453,122.08999633789062
2019-01-15,250.82752990722656,121.87999725341797
2019-01-16,251.43446350097656,122.2699966430664
2019-01-17,253.34205627441406,122.11000061035156
2019-01-18,256.71405029296875,121.0199966430664
2019-01-22,253.24569702148438,121.44999694824219
2019-01-23,253.7755889892578,121.27999877929688
2019-01-24,253.9104461669922,121.08999633789062
2019-01-25,256.0589294433594,122.86000061035156
2019-01-28,254.11280822753906,123.29000091552734
2019-01-29,253.7755889892578,123.9800033569336
2019-01-30,257.7930908203125,124.69000244140625
2019-01-31,260.05712890625,124.75
2019-02-01,260.182373046875,124.5
2019-02-04,262.0128479003906,123.95999908447266
2019-02-05,263.1112060546875,124.27999877929688
2019-02-06,262.76434326171875,123.44000244140625
2019-02-07,260.2594909667969,123.73999786376953
2019-02-08,260.577392578125,124.20999908447266
2019-02-11,260.7218933105469,123.5999984741211
2019-02-12,264.0746154785156,123.86000061035156
2019-02-13,264.9320068359375,123.37000274658203
2019-02-14,264.3443908691406,124.05999755859375
2019-02-15,267.2249755859375,124.80000305175781
2019-02-19,267.68743896484375,126.69999694824219
2019-02-20,268.2269592285156,126.4800033569336
2019-02-21,267.273193359375,125.05000305175781
2019-02-22,268.9302673339844,125.5
2019-02-25,269.2963562011719,125.37000274658203
2019-02-26,269.1036682128906,125.58000183105469
2019-02-27,268.9880676269531,124.69000244140625
2019-02-28,268.4870300292969,123.98999786376953
2019-03-01,270.1634521484375,121.87999725341797
2019-03-04,269.1807861328125,121.55999755859375
2019-03-05,268.81463623046875,121.72000122070312
2019-03-06,267.18646240234375,121.61000061035156
2019-03-07,264.9512939453125,121.51000213623047
2019-03-08,264.42138671875,122.83999633789062
2019-03-11,268.255859375,122.23999786376953
2019-03-12,269.2674560546875,122.9800033569336
2019-03-13,271.0498352050781,123.83999633789062
2019-03-14,270.8763427734375,122.41000366210938
2019-03-15,272.2146911621094,122.97000122070312
2019-03-18,273.2016906738281,123.04000091552734
2019-03-19,273.2694091796875,123.37999725341797
2019-03-20,272.4468994140625,124.18000030517578
2019-03-21,275.52410888671875,123.68000030517578
2019-03-22,270.2212829589844,123.97000122070312
2019-03-25,270.01806640625,124.91999816894531
2019-03-26,272.03082275390625,124.30000305175781
2019-03-27,270.6083068847656,123.6500015258789
2019-03-28,271.634033203125,121.9000015258789
2019-03-29,273.34686279296875,122.01000213623047
2019-04-01,276.5885314941406,121.52999877929688
2019-04-02,276.7239990234375,121.9800033569336
2019-04-03,277.1594543457031,121.80000305175781
2019-04-04,277.8948669433594,122.11000061035156
2019-04-05,279.23992919921875,121.9800033569336
2019-04-08,279.4528503417969,122.51000213623047
2019-04-09,278.02069091796875,123.1500015258789
2019-04-10,278.9690246582031,123.52999877929688
2019-04-11,278.8915710449219,121.94999694824219
2019-04-12,280.7785339355469,121.83000183105469
2019-04-15,280.59466552734375,121.5999984741211
2019-04-16,280.7785339355469,120.51000213623047
2019-04-17,280.09149169921875,120.27999877929688
2019-04-18,280.64306640625,120.37000274658203
2019-04-22,280.8849182128906,120.37000274658203
2019-04-23,283.4105529785156,120.12000274658203
2019-04-24,282.7816162109375,120.47000122070312
2019-04-25,282.6074523925781,120.56999969482422
2019-04-26,283.9234619140625,121.37000274658203
2019-04-29,284.3685607910156,120.83000183105469
2019-04-30,284.51373291015625,121.19999694824219
2019-05-01,282.37518310546875,120.4000015258789
2019-05-02,281.7655029296875,119.94000244140625
2019-05-03,284.5234069824219,120.6500015258789
2019-05-06,283.3525390625,120.80999755859375
2019-05-07,278.62060546875,121.20999908447266
2019-05-08,278.2335510253906,120.91000366210938
2019-05-09,277.3916931152344,121.19999694824219
2019-05-10,278.78515625,121.43000030517578
2019-05-13,271.7792053222656,122.66999816894531
2019-05-14,274.2370910644531,122.45999908447266
2019-05-15,275.8434143066406,122.38999938964844
2019-05-16,278.3980712890625,121.51000213623047
2019-05-17,276.5981750488281,120.6500015258789
2019-05-20,274.7693176269531,120.63999938964844
2019-05-21,277.24652099609375,120.36000061035156
2019-05-22,276.39495849609375,120.23999786376953
2019-05-23,273.017822265625,121.16999816894531
2019-05-24,273.63714599609375,121.30000305175781
2019-05-28,271.0921630859375,120.83000183105469
2019-05-29,269.2729797363281,120.87000274658203
2019-05-30,270.0083923339844,121.69000244140625
2019-05-31,266.3699645996094,123.33000183105469
2019-06-03,265.6925964355469,125.11000061035156
2019-06-04,271.45989990234375,125.1500015258789
2019-06-05,273.8113098144531,125.47000122070312
2019-06-06,275.591796875,125.87999725341797
2019-06-07,278.34967041015625,126.58999633789062
2019-06-10,279.6269836425781,125.33000183105469
2019-06-11,279.55926513671875,125.18000030517578
2019-06-12,279.0657653808594,125.83000183105469
2019-06-13,280.2172546386719,126.5999984741211
2019-06-14,279.90765380859375,126.55999755859375
2019-06-17,280.01409912109375,126.4800033569336
2019-06-18,282.94610595703125,127.12000274658203
2019-06-19,283.58477783203125,127.88999938964844
2019-06-20,286.2942199707031,131.11000061035156
2019-06-21,285.8780822753906,131.97999572753906
2019-06-24,285.5280456542969,133.94000244140625
2019-06-25,282.7275390625,134.1999969482422
2019-06-26,282.4455871582031,132.97000122070312
